HeadcountKey,EmployeeID,CandidateKey,HireDateKey,PositionKey,DepartmentKey,LocationKey,Status,Salary
1,EMP000001,1678,20250521,38,6,1,Active,240001
2,EMP000002,2928,20250606,8,8,2,Active,240002
3,EMP000003,1021,20250830,21,5,3,Active,65003
4,EMP000004,574,20250813,14,6,4,Active,140004
5,EMP000005,624,20250606,24,8,5,Active,140005
6,EMP000006,617,20250608,17,1,6,Active,215006
7,EMP000007,1980,20250726,20,4,1,Active,40007
8,EMP000008,553,20250618,33,1,2,Active,115008
9,EMP000009,380,20250624,20,4,3,Active,40009
10,EMP000010,990,20250711,30,6,4,Active,40010
11,EMP000011,1355,20250828,35,3,5,Active,165011
12,EMP000012,1259,20250626,19,3,6,Active,265012
13,EMP000013,1351,20250606,31,7,1,Active,65013
14,EMP000014,550,20250622,30,6,2,Active,40014
15,EMP000015,2828,20250812,28,4,3,Active,240015
16,EMP000016,3614,20250730,14,6,4,Active,140016
17,EMP000017,1885,20250903,5,5,5,Active,165017
18,EMP000018,1180,20250525,20,4,6,Active,40018
19,EMP000019,2062,20250723,22,6,1,Active,90019
20,EMP000020,259,20250526,19,3,2,Active,265020
21,EMP000021,3908,20250824,28,4,3,Active,240021
22,EMP000022,293,20250712,13,5,4,Active,115022
23,EMP000023,1462,20250727,22,6,5,Active,90023
24,EMP000024,220,20250607,20,4,6,Active,40024
25,EMP000025,3031,20250701,31,7,1,Active,65025
26,EMP000026,2643,20250519,3,3,2,Active,115026
27,EMP000027,407,20250821,7,7,3,Active,215027
28,EMP000028,2869,20250801,29,5,4,Active,265028
29,EMP000029,1873,20250623,33,1,5,Active,115029
30,EMP000030,2354,20250620,34,2,6,Active,140030
31,EMP000031,3712,20250625,32,8,1,Active,90031
32,EMP000032,2453,20250711,13,5,2,Active,115032
33,EMP000033,2488,20250523,8,8,3,Active,240033
34,EMP000034,1047,20250701,7,7,4,Active,215034
35,EMP000035,2004,20250831,4,4,5,Active,140035
36,EMP000036,3434,20250827,34,2,6,Active,140036
37,EMP000037,671,20250721,31,7,1,Resigned,65037
38,EMP000038,3621,20250531,21,5,2,Active,65038
39,EMP000039,568,20250902,8,8,3,Active,240039
40,EMP000040,2016,20250722,16,8,4,Active,190040
41,EMP000041,1041,20250511,1,1,5,Active,65041
42,EMP000042,480,20250703,40,8,6,Active,40042
43,EMP000043,816,20250511,16,8,1,Active,190043
44,EMP000044,2406,20250618,6,6,2,Active,190044
45,EMP000045,821,20250703,21,5,3,Active,65045
46,EMP000046,2485,20250819,5,5,4,Active,165046
47,EMP000047,3545,20250822,25,1,5,Active,165047
48,EMP000048,3427,20250715,27,3,6,Active,215048
49,EMP000049,280,20250619,40,8,1,Active,40049
50,EMP000050,40,20250903,40,8,2,Active,40050
51,EMP000051,224,20250529,24,8,3,Active,140051
52,EMP000052,3685,20250612,5,5,4,Active,165052
53,EMP000053,548,20250827,28,4,5,Active,240053
54,EMP000054,1027,20250521,27,3,6,Active,215054
55,EMP000055,748,20250719,28,4,1,Active,240055
56,EMP000056,109,20250712,29,5,2,Active,265056
57,EMP000057,1706,20250906,26,2,3,Active,190057
58,EMP000058,3842,20250616,2,2,4,Active,90058
59,EMP000059,1888,20250526,8,8,5,Active,240059
60,EMP000060,2618,20250711,18,2,6,Active,240060
61,EMP000061,929,20250513,9,1,1,Active,265061
62,EMP000062,3859,20250608,19,3,2,Active,265062
63,EMP000063,2581,20250605,21,5,3,Active,65063
64,EMP000064,2443,20250712,3,3,4,Active,115064
65,EMP000065,1136,20250628,16,8,5,Active,190065
66,EMP000066,1930,20250714,10,2,6,Active,40066
67,EMP000067,316,20250821,36,4,1,Active,190067
68,EMP000068,2822,20250806,22,6,2,Active,90068
69,EMP000069,1410,20250803,10,2,3,Active,40069
70,EMP000070,1714,20250808,34,2,4,Active,140070
71,EMP000071,547,20250603,27,3,5,Active,215071
72,EMP000072,2652,20250609,12,4,6,Active,90072
73,EMP000073,2706,20250523,26,2,1,Active,190073
74,EMP000074,3747,20250726,27,3,2,Resigned,215074
75,EMP000075,2642,20250728,2,2,3,Active,90075
76,EMP000076,2802,20250824,2,2,4,Active,90076
77,EMP000077,3510,20250726,30,6,5,Active,40077
78,EMP000078,2014,20250807,14,6,6,Active,140078
79,EMP000079,523,20250607,3,3,1,Active,115079
80,EMP000080,2006,20250712,6,6,2,Active,190080
81,EMP000081,2858,20250607,18,2,3,Active,240081
82,EMP000082,2569,20250819,9,1,4,Active,265082
83,EMP000083,883,20250704,3,3,5,Active,115083
84,EMP000084,2706,20250521,26,2,6,Active,190084
85,EMP000085,2144,20250623,24,8,1,Active,140085
86,EMP000086,2715,20250726,35,3,2,Active,165086
87,EMP000087,582,20250512,22,6,3,Active,90087
88,EMP000088,1156,20250702,36,4,4,Active,190088
89,EMP000089,3509,20250808,29,5,5,Active,265089
90,EMP000090,1440,20250619,40,8,6,Active,40090
91,EMP000091,35,20250529,35,3,1,Active,165091
92,EMP000092,265,20250626,25,1,2,Active,165092
93,EMP000093,2511,20250812,31,7,3,Active,65093
94,EMP000094,219,20250620,19,3,4,Active,265094
95,EMP000095,1496,20250601,16,8,5,Active,190095
96,EMP000096,2494,20250828,14,6,6,Active,140096
97,EMP000097,2517,20250511,37,5,1,Active,215097
98,EMP000098,1605,20250624,5,5,2,Active,165098
99,EMP000099,2664,20250828,24,8,3,Active,140099
100,EMP000100,3371,20250801,11,3,4,Active,65100
101,EMP000101,1001,20250625,1,1,5,Active,65101
102,EMP000102,2149,20250821,29,5,6,Active,265102
103,EMP000103,2959,20250815,39,7,1,Active,265103
104,EMP000104,3277,20250528,37,5,2,Active,215104
105,EMP000105,1816,20250516,16,8,3,Active,190105
106,EMP000106,2709,20250606,29,5,4,Active,265106
107,EMP000107,465,20250817,25,1,5,Active,165107
108,EMP000108,1580,20250618,20,4,6,Active,40108
109,EMP000109,3604,20250621,4,4,1,Active,140109
110,EMP000110,1862,20250511,22,6,2,Active,90110
111,EMP000111,193,20250827,33,1,3,Resigned,115111
112,EMP000112,836,20250827,36,4,4,Active,190112
113,EMP000113,3990,20250518,30,6,5,Active,40113
114,EMP000114,1863,20250617,23,7,6,Active,115114
115,EMP000115,3609,20250902,9,1,1,Active,265115
116,EMP000116,127,20250527,7,7,2,Active,215116
117,EMP000117,1002,20250623,2,2,3,Active,90117
118,EMP000118,1304,20250715,24,8,4,Active,140118
119,EMP000119,3100,20250822,20,4,5,Active,40119
120,EMP000120,2761,20250518,1,1,6,Active,65120
121,EMP000121,586,20250612,26,2,1,Active,190121
122,EMP000122,1311,20250627,31,7,2,Active,65122
123,EMP000123,2755,20250829,35,3,3,Active,165123
124,EMP000124,2552,20250509,32,8,4,Active,90124
125,EMP000125,3213,20250719,13,5,5,Active,115125
126,EMP000126,814,20250605,14,6,6,Active,140126
127,EMP000127,1280,20250626,40,8,1,Active,40127
