InterviewKey,CandidateKey,InterviewDateKey,InterviewStage,InterviewerKey,Outcome,Score,DurationMinutes,Notes
1,2,20231016,HR,1,Passed,69.83,31,Auto-generated interview note 1
2,3,20250607,HR,2,Passed,77.8,32,Auto-generated interview note 2
3,4,20240113,Onsite,3,Passed,85.29,33,Auto-generated interview note 3
4,5,20231109,HR,4,Passed,92.62,34,Auto-generated interview note 4
5,6,20240908,Technical,5,Failed,95.88,35,Auto-generated interview note 5
6,7,20231212,Onsite,6,Passed,83.31,36,Auto-generated interview note 6
7,8,20240323,PhoneScreen,7,Passed,77.99,37,Auto-generated interview note 7
8,9,20250830,HR,8,Passed,65.28,38,Auto-generated interview note 8
9,10,20230417,Onsite,9,Passed,89.22,39,Auto-generated interview note 9
10,11,20240831,Technical,10,Failed,66.14,40,Auto-generated interview note 10
11,12,20250903,HR,11,Passed,50.66,41,Auto-generated interview note 11
12,13,20230625,Onsite,12,Passed,96.05,42,Auto-generated interview note 12
13,14,20241030,HR,13,Passed,85.76,43,Auto-generated interview note 13
14,15,20250626,PhoneScreen,14,Passed,79.08,44,Auto-generated interview note 14
15,16,20241103,Technical,15,Failed,66.53,45,Auto-generated interview note 15
16,17,20240911,HR,16,Passed,71.5,46,Auto-generated interview note 16
17,18,20250307,HR,17,Passed,81.56,47,Auto-generated interview note 17
18,19,20250905,Onsite,18,Passed,78.6,48,Auto-generated interview note 18
19,20,20231203,HR,19,Passed,60.2,49,Auto-generated interview note 19
20,21,20250528,Technical,20,Failed,99.64,50,Auto-generated interview note 20
21,22,20241127,PhoneScreen,21,Passed,71.93,51,Auto-generated interview note 21
22,23,20240519,HR,22,Passed,94.48,52,Auto-generated interview note 22
23,24,20240308,HR,23,Passed,52.76,53,Auto-generated interview note 23
24,25,20250610,Onsite,24,Passed,94.01,54,Auto-generated interview note 24
25,26,20240414,Technical,25,Failed,56.38,55,Auto-generated interview note 25
26,27,20250311,HR,26,Passed,92.07,56,Auto-generated interview note 26
27,28,20241102,Onsite,27,Passed,88.45,57,Auto-generated interview note 27
28,29,20230513,PhoneScreen,28,Passed,65.42,58,Auto-generated interview note 28
29,30,20230628,HR,29,NoShow,80.55,59,Auto-generated interview note 29
30,31,20240125,Technical,30,Failed,96.49,60,Auto-generated interview note 30
31,32,20240716,HR,31,Passed,50.41,61,Auto-generated interview note 31
32,33,20250604,HR,32,Passed,90.74,62,Auto-generated interview note 32
33,34,20241218,Onsite,33,Passed,54.04,63,Auto-generated interview note 33
34,35,20250626,HR,34,Passed,88.7,64,Auto-generated interview note 34
35,36,20240714,PhoneScreen,35,Failed,93.85,65,Auto-generated interview note 35
36,37,20230804,Onsite,36,Passed,75.45,66,Auto-generated interview note 36
37,38,20230811,HR,37,Passed,84.18,67,Auto-generated interview note 37
38,39,20241230,HR,38,Passed,86.52,68,Auto-generated interview note 38
39,40,20230625,Onsite,39,Passed,56.89,69,Auto-generated interview note 39
40,41,20241107,Technical,40,Failed,98.57,70,Auto-generated interview note 40
41,42,20250810,HR,41,Passed,55.25,71,Auto-generated interview note 41
42,43,20250512,PhoneScreen,42,Passed,63.93,72,Auto-generated interview note 42
43,44,20230724,HR,43,Passed,86.55,73,Auto-generated interview note 43
44,45,20241206,HR,44,Passed,77.18,74,Auto-generated interview note 44
45,46,20240803,Technical,45,Failed,73.65,75,Auto-generated interview note 45
46,47,20231115,HR,46,Passed,52.58,76,Auto-generated interview note 46
47,48,20231209,HR,47,Passed,83.67,77,Auto-generated interview note 47
48,49,20240304,Onsite,48,Passed,51.44,78,Auto-generated interview note 48
49,50,20240604,PhoneScreen,49,Passed,78.11,79,Auto-generated interview note 49
50,51,20230715,Technical,50,Failed,85.82,80,Auto-generated interview note 50
51,52,20240209,Onsite,51,Passed,94.59,81,Auto-generated interview note 51
52,53,20240502,HR,52,Passed,82.34,82,Auto-generated interview note 52
53,54,20250514,HR,53,Passed,94.54,83,Auto-generated interview note 53
