OfferKey,CandidateKey,OfferDateKey,RecruiterKey,PositionKey,OfferStatus,OfferedSalary,OfferNotes
1,2,20231217,1,2,Expired,70001,Auto-generated offer 1
2,3,20231218,2,3,Expired,90002,Auto-generated offer 2
3,4,20230524,3,4,Expired,110003,Auto-generated offer 3
4,5,20241216,4,5,Declined,130004,Auto-generated offer 4
5,6,20250501,5,6,Declined,150005,Auto-generated offer 5
6,7,20250114,6,7,Accepted,170006,Auto-generated offer 6
7,8,20241124,7,8,Pending,190007,Auto-generated offer 7
8,9,20240204,8,9,Pending,210008,Auto-generated offer 8
9,10,20230915,9,10,Pending,30009,Auto-generated offer 9
10,11,20230715,10,11,Declined,50010,Auto-generated offer 10
11,12,20241028,11,12,Accepted,70011,Auto-generated offer 11
12,13,20240402,12,13,Expired,90012,Auto-generated offer 12
13,14,20230509,13,14,Accepted,110013,Auto-generated offer 13
14,15,20250308,14,15,Pending,130014,Auto-generated offer 14
15,16,20230818,15,16,Expired,150015,Auto-generated offer 15
16,17,20241021,16,17,Pending,170016,Auto-generated offer 16
17,18,20250524,17,18,Expired,190017,Auto-generated offer 17
18,19,20231021,18,19,Pending,210018,Auto-generated offer 18
19,20,20240429,19,20,Pending,30019,Auto-generated offer 19
20,21,20241202,20,21,Pending,50020,Auto-generated offer 20
21,22,20230506,21,22,Pending,70021,Auto-generated offer 21
22,23,20240423,22,23,Pending,90022,Auto-generated offer 22
23,24,20250624,23,24,Accepted,110023,Auto-generated offer 23
24,25,20240815,24,25,Declined,130024,Auto-generated offer 24
25,26,20230624,25,26,Expired,150025,Auto-generated offer 25
26,27,20250811,26,27,Accepted,170026,Auto-generated offer 26
27,28,20230411,27,28,Accepted,190027,Auto-generated offer 27
28,29,20241021,28,29,Declined,210028,Auto-generated offer 28
29,30,20240610,29,30,Declined,30029,Auto-generated offer 29
30,31,20250814,30,31,Pending,50030,Auto-generated offer 30
31,32,20241016,31,32,Declined,70031,Auto-generated offer 31
32,33,20230902,32,33,Declined,90032,Auto-generated offer 32
33,34,20240821,33,34,Declined,110033,Auto-generated offer 33
34,35,20240707,34,35,Pending,130034,Auto-generated offer 34
35,36,20230919,35,36,Accepted,150035,Auto-generated offer 35
36,37,20250826,36,37,Accepted,170036,Auto-generated offer 36
37,38,20250808,37,38,Pending,190037,Auto-generated offer 37
38,39,20230715,38,39,Declined,210038,Auto-generated offer 38
39,40,20230426,39,40,Accepted,30039,Auto-generated offer 39
40,41,20240919,40,1,Expired,50040,Auto-generated offer 40
41,42,20230701,41,2,Pending,70041,Auto-generated offer 41
42,43,20240111,42,3,Expired,90042,Auto-generated offer 42
43,44,20230504,43,4,Accepted,110043,Auto-generated offer 43
44,45,20250303,44,5,Declined,130044,Auto-generated offer 44
45,46,20240810,45,6,Pending,150045,Auto-generated offer 45
46,47,20241222,46,7,Declined,170046,Auto-generated offer 46
47,48,20231213,47,8,Declined,190047,Auto-generated offer 47
48,49,20240327,48,9,Pending,210048,Auto-generated offer 48
49,50,20240219,49,10,Pending,30049,Auto-generated offer 49
50,51,20241219,50,11,Pending,50050,Auto-generated offer 50
51,52,20230625,1,12,Accepted,70051,Auto-generated offer 51
52,53,20230607,2,13,Accepted,90052,Auto-generated offer 52
53,54,20250209,3,14,Pending,110053,Auto-generated offer 53
54,55,20240318,4,15,Pending,130054,Auto-generated offer 54
55,56,20230712,5,16,Pending,150055,Auto-generated offer 55
56,57,20230508,6,17,Accepted,170056,Auto-generated offer 56
57,58,20250514,7,18,Accepted,190057,Auto-generated offer 57
58,59,20230601,8,19,Pending,210058,Auto-generated offer 58
59,60,20240728,9,20,Pending,30059,Auto-generated offer 59
60,61,20240705,10,21,Accepted,50060,Auto-generated offer 60
61,62,20230430,11,22,Declined,70061,Auto-generated offer 61
62,63,20240807,12,23,Accepted,90062,Auto-generated offer 62
63,64,20240217,13,24,Pending,110063,Auto-generated offer 63
64,65,20250429,14,25,Declined,130064,Auto-generated offer 64
65,66,20250407,15,26,Accepted,150065,Auto-generated offer 65
66,67,20230811,16,27,Accepted,170066,Auto-generated offer 66
67,68,20230723,17,28,Pending,190067,Auto-generated offer 67
68,69,20240404,18,29,Declined,210068,Auto-generated offer 68
69,70,20241007,19,30,Accepted,30069,Auto-generated offer 69
70,71,20230808,20,31,Declined,50070,Auto-generated offer 70
71,72,20250505,21,32,Accepted,70071,Auto-generated offer 71
72,73,20250810,22,33,Pending,90072,Auto-generated offer 72
73,74,20230606,23,34,Expired,110073,Auto-generated offer 73
74,75,20250801,24,35,Pending,130074,Auto-generated offer 74
